experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,error
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,0,672,75,0.18303571428571427,2.95584774017334,0.7383213734248597,0.08982611085146974,0.6187040558915479,-0.08982611085147038,4.05634575318767,3.9665196423362,6.437065841667993,0.0038213295139675196,6.44088717118196,0.9142857091326123,0.7643374182910408,0.5758147268806914,0.6563830391455827,0.18303571428571427,0.015537093975601997,0.5622980946615538,0.31547619047619047,0.0,0.3786485405837665,0.1840815109040787,0.37851628205057564,0.68,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,1,672,75,0.19196428571428573,0.8340485095977783,0.6393796243222265,0.32567609355858673,0.5259602289981155,-0.32567609355858523,4.2142477603062325,3.8885716667476458,8.238802977146783,0.0,8.238802977146783,0.6365080960611184,0.5468638731982477,0.6949194234192253,0.6650815307668694,0.19196428571428573,0.014780819396271709,0.5968684185640735,0.28273809523809523,0.0,0.36866675232344,0.17594519971689987,0.38953028248571747,0.64,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,2,672,75,0.18154761904761904,1.1982758045196533,0.9027077935055413,0.3062505207851838,0.682602139062027,-0.30625052078518356,4.064009157208732,3.757758636423548,7.462933979593411,0.0290861138587859,7.492020093452197,1.1496227138633393,0.9671263190887857,0.738672197337868,0.6955379607156295,0.18154761904761904,0.01554288550564484,0.5701034846394465,0.3273809523809524,0.0,0.40321907600596124,0.178924329173562,0.42111588545858597,0.64,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,3,672,75,0.19047619047619047,1.9830453395843506,0.9022953876426439,0.08763496012543026,0.70833797862789,-0.08763496012543094,4.011240467092333,3.9236055069669025,12.4062707271931,0.05300147535520239,12.459272202548302,0.9877864564657315,0.781317144021715,0.964681345378934,0.8538379116499187,0.19047619047619047,0.0165943188066821,0.5727596596424224,0.27827380952380953,0.0,0.36672794117647056,0.17660289427310588,0.3762902074312649,0.68,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,4,672,75,0.18601190476190477,2.294175148010254,0.9205152634872384,0.4194356006218678,0.7379182766859892,-0.4194356006218671,4.163696052943034,3.744260452321166,11.368547627705679,0.013475185944958668,11.382022813650638,1.0511902675161662,1.024063303108553,0.6576272111990008,0.9021147252976166,0.18601190476190477,0.014909819501311839,0.5517940105889383,0.30952380952380953,0.0,0.39072760511883,0.17852572689103735,0.37453576081259893,0.68,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,5,672,75,0.19345238095238096,1.0686583518981934,0.806176297755928,0.07110030419495272,0.6028964768606749,0.07110030419495289,3.9331437410854035,4.004244045280356,6.383491605800797,0.0,6.383491605800797,1.2120863801536386,0.7734105354564141,0.5699360288666585,0.4525622019613959,0.19345238095238096,0.016859497504150667,0.5992615257193149,0.27976190476190477,0.0,0.3971898949758728,0.17606695196495736,0.40839385268331657,0.64,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,6,672,75,0.18452380952380953,0.7949662208557129,0.7543757844352068,0.34474270773969673,0.6035023121148766,-0.34474270773969656,4.016693170673207,3.6719504629335105,5.467977141813069,0.0,5.467977141813069,0.6960286542432418,0.8033728389562695,0.5583742493973172,0.9158071841284366,0.18452380952380953,0.0122836648095902,0.5601753357873364,0.2916666666666667,0.0,0.3874499646809513,0.1707833552677563,0.40026893257586565,0.64,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,7,672,75,0.18898809523809523,1.2724900245666504,1.0495543118301127,0.09629326974286867,0.7538199119561377,-0.09629326974286802,3.5578866081987015,3.461593338455833,8.381534215985404,0.13122708976815112,8.512761305753555,1.6997095000317843,0.7481700074827212,0.6925997306769586,0.7562196108392666,0.18898809523809523,0.013495985011059728,0.5932627568172648,0.3020833333333333,0.0,0.4084230296900961,0.18544552237956252,0.43473334556619453,0.68,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,8,672,75,0.19345238095238096,2.323509931564331,13.363143062280008,0.9823475763409153,4.28392137461885,0.982347576340916,10.668346257956449,11.650693834297364,57.92937567307401,0.1319404196873819,58.061316092761395,26.133955027958606,3.3683977272103123,2.0938265341097018,2.6036714466329083,0.19345238095238096,0.01480705591124428,0.6894771163752703,0.3020833333333333,0.0,0.40607436843599204,0.1824866843491901,0.3560993634276682,0.64,
sensitivity,sensitivity,ihdp,latent_dim,4.0,neural_rep,9,672,75,0.1800595238095238,2.9932851791381836,0.948717441516938,0.1414401384392736,0.7169882704758356,-0.14144013843927386,5.304671650267495,5.163231511828221,26.577947283526484,0.010153572015713763,26.588100855542198,1.4550994231733172,0.8238879416159671,0.5777893288309527,0.7310121208572602,0.1800595238095238,0.015356333100467318,0.614268559303028,0.3273809523809524,0.0,0.36747611405258657,0.1805341423846863,0.3874702659193068,0.68,
sensitivity,sensitivity,ihdp,latent_dim,8.0,neural_rep,0,672,75,0.18303571428571427,1.129028558731079,0.5923041673209529,0.18919088082938318,0.49244570418406036,-0.1891908808293831,4.05634575318767,3.8671548723582867,6.44088717118196,0.0,6.44088717118196,0.6726346666338265,0.5681957288726207,0.48906751638376567,0.6223773549408691,0.18303571428571427,0.015537093975601997,0.5622980946615538,0.31547619047619047,0.0,0.3786485405837665,0.1840815109040787,0.37851628205057564,0.68,
sensitivity,sensitivity,ihdp,latent_dim,8.0,neural_rep,1,672,75,0.19196428571428573,0.8731858730316162,0.6108327992104865,0.020837406571930117,0.526103398769999,0.02083740657193053,4.2142477603062325,4.235085166878163,8.238802977146783,0.0,8.238802977146783,0.6693040280653437,0.4194687090948588,0.6036110040184914,0.7027245018683671,0.19196428571428573,0.014780819396271709,0.5968684185640735,0.28273809523809523,0.0,0.36866675232344,0.17594519971689987,0.38953028248571747,0.64,
sensitivity,sensitivity,ihdp,latent_dim,8.0,neural_rep,2,672,75,0.18154761904761904,1.0468285083770752,0.9353359922276111,0.4914577311354682,0.7573425792851121,-0.491457731135468,4.064009157208732,3.5725514260732636,7.462933979593411,0.0290861138587859,7.492020093452197,1.1560564316513537,1.1225581466933825,0.7443930432560051,0.6372803173046611,0.18154761904761904,0.01554288550564484,0.5701034846394465,0.3273809523809524,0.0,0.40321907600596124,0.178924329173562,0.42111588545858597,0.64,
sensitivity,sensitivity,ihdp,latent_dim,8.0,neural_rep,3,672,75,0.19047619047619047,1.1428725719451904,0.8270387895933796,0.035658183160231616,0.641100538401971,-0.03565818316023132,4.011240467092333,3.975582283932101,12.427083237483572,0.03218896506473001,12.459272202548302,1.0335521412254702,0.8218196731274754,0.8209428177546715,0.5638749849762761,0.19047619047619047,0.0165943188066821,0.5727596596424224,0.27827380952380953,0.0,0.36672794117647056,0.17660289427310588,0.3762902074312649,0.68,
