experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,diag_true_ps_min,diag_true_ps_max,error
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,0,2000,2000,0.5,1.7626805305480957,0.8403901820877633,0.04289530735883729,0.6633382879375651,0.042895307358837224,0.988634815670337,1.0315301230291742,0.8754057350935399,0.09923551468260194,0.9746412497761419,0.8117809072777493,0.850340316590064,0.8261504458424587,0.8720270511819838,0.5,0.30161096242148194,0.6755440672048536,0.0,0.0,0.096,0.03617392029560568,0.12084866904148066,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,1,2000,2000,0.495,1.7641170024871826,0.8608695338165514,0.07210988140741803,0.6771592213537728,0.07210988140741802,0.9947717733296532,1.0668816547370712,0.9885058022707672,0.07539344851108909,1.0638992507818563,0.7898726411114902,0.7694993563819438,0.8590172634295392,1.005209783823986,0.495,0.2615105049613446,0.6718587160923126,0.0,0.0,0.11812181218121812,0.04292046311676366,0.10668488565857716,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,2,2000,2000,0.5035,1.7822074890136719,0.9051665682277188,0.03787233060384165,0.7105712762927838,0.03787233060384168,0.9804604494287746,1.0183327800326163,0.8469536727950749,0.09069278170380357,0.9376464544988785,0.9529138577173498,0.8903456546531704,0.8407257352953575,0.9325910668514463,0.5035,0.2929037483019912,0.7107596090634787,0.0,0.0,0.12976335840456182,0.05200336617670166,0.1300180432092643,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,3,2000,2000,0.5,1.7547543048858643,0.8763103031794199,0.03941639730737212,0.6847771403902748,-0.039416397307372245,1.0087926713972664,0.9693762740898942,0.7931858797247034,0.1093325363026123,0.9025184160273158,0.8593998191916234,0.8430716102804263,0.9079925667839887,0.8932472777519255,0.5,0.3339531679415336,0.674103785436549,0.0,0.0,0.108,0.04397804774632658,0.08348393134626104,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,4,2000,2000,0.4745,1.7601990699768066,0.9822893295025011,0.10991389026351239,0.7782467920018459,-0.10991389026351238,0.9903193784566898,0.8804054881931774,0.7786438716439936,0.14369171204055553,0.9223355836845492,0.9306835709298505,0.9140047903318879,0.9767515114210733,1.097246155794663,0.4745,0.2989067005510385,0.646543204391403,0.0,0.0,0.09182884683060641,0.040307352301775956,0.09620872186074654,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,5,2000,2000,0.5075,1.768874168395996,0.8915806008215775,0.07487120700623162,0.693513793489487,0.0748712070062314,0.9664879542782492,1.0413591612844808,0.8906252841520926,0.0896431260454379,0.9802684101975305,0.8540565165849796,0.8640745144296327,0.8876442480664225,0.9569296002904192,0.5075,0.32807189819113414,0.6704747301170138,0.0,0.0,0.09521642369533145,0.035002717603518106,0.14606359355552034,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,6,2000,2000,0.489,1.7977464199066162,0.8409844615360182,0.07639606009738442,0.6602722118793636,-0.0763960600973845,1.003619649399195,0.9272235893018105,0.9327235199246979,0.10320995810601219,1.0359334780307101,0.8268320263657973,0.8472347288656881,0.774474209147218,0.909808370991172,0.489,0.347036171468478,0.6192937795864211,0.0,0.0,0.09889186366201241,0.02776811845669277,0.09743066258171393,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,7,2000,2000,0.4925,1.801335096359253,0.8525328116636121,0.10855221639206569,0.6617132635023593,-0.10855221639206565,0.9985860310672204,0.8900338146751547,0.8955452257799633,0.10670563875235473,1.002250864532318,0.7773557606426105,0.8062508937628206,0.8530597097741374,0.9618811928272231,0.4925,0.2613921765664383,0.6923932826880763,0.0,0.0,0.11139006276412193,0.041775178257900794,0.11379574324848574,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,8,2000,2000,0.493,1.8489015102386475,0.866795361412907,0.02439057832197966,0.6928677102348388,-0.024390578321979682,1.0063284488837538,0.9819378705617742,0.9362543289170577,0.10570616804855026,1.041960496965608,0.8282370618014832,0.8843794252851304,0.8270688271327808,0.9236830360268197,0.493,0.3201051481548517,0.6428530196688977,0.0,0.0,0.087255101999992,0.0355156250203149,0.0810216864786433,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,t_learner,9,2000,2000,0.497,1.802353858947754,0.9092938887706212,0.1403300667718299,0.7174247929531411,-0.14033006677182988,1.000148146210073,0.8598180794382431,0.7675298282860518,0.13974087171905814,0.9072707000051099,0.8150702076888523,0.7934470877686952,0.9300602048731025,1.0716117745635432,0.497,0.34894679724308725,0.6455766442257557,0.0,0.0,0.08948522146797284,0.03447847881826681,0.08078551820768623,0.0,0.5,0.5,
