experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,selected_config,selected_index,val_mse_selected,n_configs_evaluated,tuning_seconds,refit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,error,diag_true_ps_min,diag_true_ps_max
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,0,672,75,0.18303571428571427,1.2276496887207031,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",3,0.24305566248526458,6,1.044450283050537,0.1818242073059082,0.5236560938079652,0.12941537041175533,0.43811131590616537,-0.129415370411755,4.05634575318767,3.9269303827759146,6.437065841667993,0.0038213295139675196,6.44088717118196,0.7355537789238892,0.32414147227285217,0.30387326033013445,0.591197325246411,0.18303571428571427,0.015537093975601997,0.5622980946615538,0.31547619047619047,0.0,0.3786485405837665,0.1840815109040787,0.37851628205057564,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,1,672,75,0.19196428571428573,1.303758144378662,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",2,0.2682674072990369,6,1.1385324001312256,0.1585845947265625,0.4561470679209006,0.25816834079580175,0.3467490331811363,-0.2581683407958014,4.2142477603062325,3.9560794195104307,8.238802977146783,0.0,8.238802977146783,0.42931592087221754,0.23748008190012254,0.39766726350165793,0.6522649617192435,0.19196428571428573,0.014780819396271709,0.5968684185640735,0.28273809523809523,0.0,0.36866675232344,0.17594519971689987,0.38953028248571747,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,2,672,75,0.18154761904761904,1.4723420143127441,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1}",1,0.23362024362987088,6,1.3588340282440186,0.11209225654602051,0.6791573549165988,0.16867430910467363,0.4339532494538212,-0.16867430910467404,4.064009157208732,3.895334848104058,7.462933979593411,0.0290861138587859,7.492020093452197,1.1194051327653258,0.45395282398158526,0.3757739358820843,0.4844122556335516,0.18154761904761904,0.01554288550564484,0.5701034846394465,0.3273809523809524,0.0,0.40321907600596124,0.178924329173562,0.42111588545858597,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,3,672,75,0.19047619047619047,1.722249984741211,"{'base_learner': 'gbm', 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05}",5,0.1784548411265441,6,1.1814093589782715,0.5375654697418213,1.116347373410968,0.07768227745559741,0.8078373895042051,-0.07768227745559778,4.011240467092333,3.9335581896367353,12.339480086958448,0.11979211558985448,12.459272202548302,1.6906323337647557,0.6011702862011407,0.5929790562943045,1.1692255959574758,0.19047619047619047,0.0165943188066821,0.5727596596424224,0.27827380952380953,0.0,0.36672794117647056,0.17660289427310588,0.3762902074312649,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,4,672,75,0.18601190476190477,1.485199213027954,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",4,0.1688294336796559,6,1.2174363136291504,0.26573634147644043,1.4997705034771214,0.1505330855289131,1.0623464530447262,-0.15053308552891406,4.163696052943034,4.013162967414121,11.24351711893177,0.13850569471886764,11.382022813650638,2.0515448463380137,1.3467845617136232,1.513932256993272,0.8122009039680302,0.18601190476190477,0.014909819501311839,0.5517940105889383,0.30952380952380953,0.0,0.39072760511883,0.17852572689103735,0.37453576081259893,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,5,672,75,0.19345238095238096,1.2345616817474365,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1}",1,0.2365881370282875,6,1.1325922012329102,0.10021090507507324,0.5992424278457167,0.08679026936475553,0.3552339007179269,0.08679026936475577,3.9331437410854035,4.019934010450159,6.383491605800797,0.0,6.383491605800797,1.0583366292603569,0.426790526789787,0.3362305496307658,0.10851585348710614,0.19345238095238096,0.016859497504150667,0.5992615257193149,0.27976190476190477,0.0,0.3971898949758728,0.17606695196495736,0.40839385268331657,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,6,672,75,0.18452380952380953,1.214719295501709,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1}",1,0.2421510970344897,6,1.1042943000793457,0.10902976989746094,0.4389232379089185,0.2722082141572635,0.3782863917108943,-0.27220821415726293,4.016693170673207,3.7444849565159437,5.467977141813069,0.0,5.467977141813069,0.4619216483826658,0.43635853780574074,0.48435319949775013,0.36348023502981514,0.18452380952380953,0.0122836648095902,0.5601753357873364,0.2916666666666667,0.0,0.3874499646809513,0.1707833552677563,0.40026893257586565,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,7,672,75,0.18898809523809523,1.3941254615783691,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",3,0.19906665454881506,6,1.180340051651001,0.21179437637329102,1.1832101332472114,0.052825330017040706,0.669832655414882,0.05282533001704086,3.5578866081987015,3.610711938215742,8.381534215985404,0.13122708976815112,8.512761305753555,2.207610794357446,0.5018871635205915,0.6883796833077871,0.428323534579401,0.18898809523809523,0.013495985011059728,0.5932627568172648,0.3020833333333333,0.0,0.4084230296900961,0.18544552237956252,0.43473334556619453,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,8,672,75,0.19345238095238096,1.650048017501831,"{'base_learner': 'gbm', 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05}",5,0.11139709549406125,6,1.1156952381134033,0.5316603183746338,21.13626198548209,1.6538374657584338,9.630342788296248,1.6538374657584352,10.668346257956449,12.322183723714883,57.447696064451776,0.6136200283096187,58.061316092761395,40.43750514830059,6.885292324062643,6.284655228695822,6.622138832630499,0.19345238095238096,0.01480705591124428,0.6894771163752703,0.3020833333333333,0.0,0.40607436843599204,0.1824866843491901,0.3560993634276682,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,9,672,75,0.1800595238095238,1.5264253616333008,"{'base_learner': 'gbm', 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05}",5,0.0870355720377602,6,1.0410680770874023,0.4831857681274414,2.9339812084165486,0.15979447014867354,1.7626626652458393,0.1597944701486728,5.304671650267495,5.464466120416168,26.53915025809739,0.0489505974448079,26.588100855542198,5.4089531860087305,1.1594434959432343,1.8831221595972705,1.1715437440901781,0.1800595238095238,0.015356333100467318,0.614268559303028,0.3273809523809524,0.0,0.36747611405258657,0.1805341423846863,0.3874702659193068,0.68,,,
