experiment,condition,condition_value,model,metric,mean,std,sem,median,iqr,n,ci_low,ci_high
sample_size,train_fraction,0.25,s_learner,pehe,5.301402146914218,10.148113262084223,1.8527835165869548,1.5831956066721098,2.037144854285194,30,2.2170628566699206,9.297788647037015
sample_size,train_fraction,0.25,s_learner,abs_ate_error,0.9219806607876803,1.8018465328272808,0.32897066373065814,0.2568823987647917,0.712915174362731,30,0.393008831504791,1.63858436613438
sample_size,train_fraction,0.25,s_learner,policy_regret,0.6456182670046002,1.4039466071367437,0.2563244087538793,0.11257129086014217,0.3731445018030688,30,0.22074382487368058,1.1962555290522843
sample_size,train_fraction,0.25,s_learner,policy_value,17.544271567018306,19.433857022480808,3.548120623514307,10.674548379838214,5.794014767625681,30,11.56679110478332,25.054248724019256
sample_size,train_fraction,0.25,t_learner,pehe,3.9804410091815674,6.81454213427498,1.244159482003935,1.3956022111248543,1.5649625486210266,30,1.895460202786024,6.668990628973648
sample_size,train_fraction,0.25,t_learner,abs_ate_error,0.7244006387786279,1.3190728613697604,0.24082865372170087,0.27704336632312243,0.43061930714369345,30,0.34223479199944473,1.2472110812266102
sample_size,train_fraction,0.25,t_learner,policy_regret,0.23370498663143272,0.41629786543893005,0.0760052438473841,0.10038647773750231,0.14194690478170036,30,0.10446462283427821,0.3959181614762823
sample_size,train_fraction,0.25,t_learner,policy_value,17.95618484739147,20.328680115986714,3.7114922212775534,10.713084635212335,5.9692778566347435,30,11.696240631707205,25.823806151011105
sample_size,train_fraction,0.25,x_learner,pehe,5.402157635565986,9.294804274240079,1.696991322865575,1.7432572327894924,1.8798487711801348,30,2.5693806895188573,9.074444141320777
sample_size,train_fraction,0.25,x_learner,abs_ate_error,0.8358307538512607,1.243857563498395,0.22709628195049517,0.39645630723738523,0.7053210970355247,30,0.4596224482485988,1.3210372075641854
sample_size,train_fraction,0.25,x_learner,policy_regret,0.5580856123537712,1.0081569929323664,0.18406344217854445,0.11257129086014217,0.494151476352523,30,0.24283967364593328,0.9447017976160438
sample_size,train_fraction,0.25,x_learner,policy_value,17.631804221669135,19.79990622449727,3.614951758548034,10.728935983362913,5.869908417968784,30,11.549411313447946,25.301488685866666
sample_size,train_fraction,0.25,neural_rep,pehe,3.9306831658660757,6.276342297469697,1.145898084982651,1.4370691786333671,1.3609374240921888,30,2.031852813186823,6.395290186601881
sample_size,train_fraction,0.25,neural_rep,abs_ate_error,0.6406175733021594,0.9945787645526616,0.18158440818703742,0.3341544439964712,0.5552260666937486,30,0.34927510521110805,1.0317757914746313
sample_size,train_fraction,0.25,neural_rep,policy_regret,0.2640143617983078,0.475623289806081,0.08683653490053582,0.08608970327246368,0.25323149191870264,30,0.11831022273318031,0.4507059712141383
sample_size,train_fraction,0.25,neural_rep,policy_value,17.9258754722246,20.27181370305933,3.701109882235976,10.727425344922189,5.9109126323236545,30,11.676085526252258,25.76348767844152
sample_size,train_fraction,0.5,s_learner,pehe,4.643819577558717,8.946830359571635,1.633460268703147,1.3690289640053601,1.6852994620453334,30,1.9522777171758132,8.18923875953593
sample_size,train_fraction,0.5,s_learner,abs_ate_error,1.0528902941441072,2.443023476829161,0.44603302225801034,0.2406040497985602,0.3064739696829686,30,0.3414432735883123,2.0330908239126066
sample_size,train_fraction,0.5,s_learner,policy_regret,0.2520815980531882,0.397388717837462,0.07255292161921117,0.09078018610504035,0.33643713492514293,30,0.13256551953270218,0.4053589703604055
sample_size,train_fraction,0.5,s_learner,policy_value,17.93780823596972,20.387115786818573,3.7221610663034053,10.774670330047623,5.804955590920196,30,11.649292179089295,25.80821549482481
sample_size,train_fraction,0.5,t_learner,pehe,3.472052707280146,6.061025110006697,1.1065867247852996,1.2487917826698065,0.9497111446276538,30,1.624924880318544,5.878105521478243
sample_size,train_fraction,0.5,t_learner,abs_ate_error,0.5481425575265657,1.2084367931935378,0.22062936365043534,0.1340668831630636,0.3917355501309623,30,0.21804465441841475,1.037823277461367
sample_size,train_fraction,0.5,t_learner,policy_regret,0.1061580804197523,0.1756736649037614,0.03207347634246458,0.05699652821607293,0.0790875366561381,30,0.053328750474796495,0.1764511590950465
sample_size,train_fraction,0.5,t_learner,policy_value,18.083731753603153,20.577433179999293,3.7569081094136254,10.89602512108275,6.105690894334844,30,11.747183051056679,26.042593907302287
sample_size,train_fraction,0.5,x_learner,pehe,4.3439735040240395,7.532778353996977,1.3752908750569266,1.4400751594100858,1.3400374087604165,30,2.063953378650763,7.306685184671634
sample_size,train_fraction,0.5,x_learner,abs_ate_error,0.5756303860176842,0.9699857586166443,0.17709436015103236,0.29475770884527264,0.3185490903041046,30,0.302049354657812,0.9714923372526604
sample_size,train_fraction,0.5,x_learner,policy_regret,0.23473239978763605,0.38203299587722184,0.06974936318441084,0.06225343218933155,0.25310842255613974,30,0.11777358989379212,0.3829594355460931
sample_size,train_fraction,0.5,x_learner,policy_value,17.95515743423527,20.383106062762245,3.721428994198398,10.68758420986682,5.911918260464196,30,11.66594728110242,25.83007011242632
sample_size,train_fraction,0.5,neural_rep,pehe,2.7979619965044753,4.373878429670105,0.79855729323853,1.1689163054993714,0.875180246046485,30,1.4853332276983062,4.532372535252206
sample_size,train_fraction,0.5,neural_rep,abs_ate_error,0.3657739760470406,0.5136361052374062,0.09377669372920826,0.2253594118710005,0.29857264007992335,30,0.22018535399288322,0.5704011052000988
sample_size,train_fraction,0.5,neural_rep,policy_regret,0.0844069195757224,0.11263524962523588,0.020564288996655668,0.035626586656804626,0.08515788141663672,30,0.04896083105499945,0.12825038781425047
sample_size,train_fraction,0.5,neural_rep,policy_value,18.10548291444718,20.64917797183863,3.7700068563715976,10.892005770884431,6.113541730503643,30,11.737307563098721,26.103128914800354
sample_size,train_fraction,0.75,s_learner,pehe,4.341189748189028,8.624808450175703,1.5746673807741347,1.3295263480126702,1.9634699498440376,30,1.7474579524203804,7.750393928422505
sample_size,train_fraction,0.75,s_learner,abs_ate_error,0.7605352570663314,1.863498883290808,0.34022679142135415,0.1961445921799665,0.3238855907861419,30,0.24709022226334348,1.5039930060438946
sample_size,train_fraction,0.75,s_learner,policy_regret,0.2261743776863366,0.3806707273420822,0.069500648115719,0.09078018610504035,0.2046176777983777,30,0.11216942827930768,0.37500088595960007
sample_size,train_fraction,0.75,s_learner,policy_value,17.96371545633657,20.43688029819201,3.7312467814508894,10.75976726342104,5.918243839907094,30,11.660374820639282,25.845471011975878
sample_size,train_fraction,0.75,t_learner,pehe,3.021949440993107,5.230356623033178,0.9549281020772722,1.1473925327346783,0.8514666951553016,30,1.4116120590571108,5.095579927688654
sample_size,train_fraction,0.75,t_learner,abs_ate_error,0.34595800166797347,0.6121917007596509,0.11177040134117111,0.13359713914788118,0.19819668618900022,30,0.17246433165766553,0.5959592463522516
sample_size,train_fraction,0.75,t_learner,policy_regret,0.11298773112835218,0.26556735588922714,0.04848574378584404,0.03461507421150767,0.060680150459937465,30,0.04027404018036771,0.22382674241910444
sample_size,train_fraction,0.75,t_learner,policy_value,18.076902102894557,20.514440330886437,3.745407241273415,10.893045206918408,6.123413199316397,30,11.764573567750366,25.99510455562872
sample_size,train_fraction,0.75,x_learner,pehe,3.9977361069873023,7.076739359868931,1.2920299269949609,1.275405936428585,1.5139264342202927,30,1.831120511360062,6.8009307922556035
sample_size,train_fraction,0.75,x_learner,abs_ate_error,0.5049869583881386,0.8201691812116501,0.149741720506721,0.18154224818204523,0.39712534727993043,30,0.2516360457728416,0.8188218575674172
sample_size,train_fraction,0.75,x_learner,policy_regret,0.18181371102598437,0.2670125778244332,0.048749604004015255,0.06324721533117739,0.2025970833250681,30,0.0964882096953992,0.2856990961551909
sample_size,train_fraction,0.75,x_learner,policy_value,18.00807612299692,20.48609456259092,3.740232035704992,10.796031083742584,6.028342314835751,30,11.696067782121297,25.91476577204892
sample_size,train_fraction,0.75,neural_rep,pehe,2.510519340852457,4.266538511270521,0.7789597950291245,0.9954754206773879,0.5437713814384443,30,1.2480682906161102,4.222119425028213
sample_size,train_fraction,0.75,neural_rep,abs_ate_error,0.3051049208495126,0.3719395865088138,0.06790656718667383,0.22162747348064848,0.3357152917556363,30,0.19018120771432517,0.4529464446043849
sample_size,train_fraction,0.75,neural_rep,policy_regret,0.06415087496964658,0.12562356778797257,0.02293562061058398,0.023269158367260623,0.04606544965479653,30,0.02975469690338676,0.11534946618841416
sample_size,train_fraction,0.75,neural_rep,policy_value,18.12573895905326,20.64146661565411,3.768598961794525,10.907065071271678,6.154039252629785,30,11.766638212333156,26.092216410987454
sample_size,train_fraction,1.0,s_learner,pehe,4.040919269351487,8.018425544479724,1.4639575154623963,1.2370453937896786,1.7749361691255345,30,1.6152703893361575,7.217367689104342
sample_size,train_fraction,1.0,s_learner,abs_ate_error,0.6937081226397214,1.625528540257374,0.29677954978913607,0.15146649678843183,0.22470789741259223,30,0.22566102321814913,1.3453010364479683
