condition,condition_value,metric,reference,comparison,n_pairs,mean_diff,median_diff,statistic,p_value,reject_h0_holm_0.05,experiment,favors
confounding_strength,2.0,abs_ate_error,neural_rep,s_learner,30,-0.3400488034255416,-0.3357699795234619,0.0,1.862645149230957e-09,True,confounding,NeuralRep
confounding_strength,2.0,abs_ate_error,neural_rep,t_learner,30,-0.08767148260473072,-0.0926974632236272,33.0,5.973502993583679e-06,True,confounding,NeuralRep
confounding_strength,2.0,abs_ate_error,neural_rep,x_learner,30,0.07424096096902853,0.0689071487467634,13.0,1.6391277313232422e-07,True,confounding,baseline
confounding_strength,3.0,abs_ate_error,neural_rep,s_learner,30,-0.40660017661703224,-0.40667262286565464,0.0,1.862645149230957e-09,True,confounding,NeuralRep
confounding_strength,3.0,abs_ate_error,neural_rep,t_learner,30,-0.1624945224907082,-0.1576166655970762,6.0,2.60770320892334e-08,True,confounding,NeuralRep
confounding_strength,3.0,abs_ate_error,neural_rep,x_learner,30,0.08552373086994859,0.09958112343722444,17.0,3.855675458908081e-07,True,confounding,baseline
confounding_strength,0.0,policy_regret,neural_rep,s_learner,30,0.005290919734793659,0.0038313911155419,67.0,0.0003449581563472748,True,confounding,baseline
confounding_strength,0.0,policy_regret,neural_rep,t_learner,30,-0.08650420009213615,-0.0856709666620293,0.0,1.862645149230957e-09,True,confounding,NeuralRep
confounding_strength,0.0,policy_regret,neural_rep,x_learner,30,-0.005571120823116083,-0.004396591494437751,37.0,1.0609626770019531e-05,True,confounding,NeuralRep
confounding_strength,1.0,policy_regret,neural_rep,s_learner,30,0.0064448806427722626,0.00538569146013225,19.0,5.718320608139038e-07,True,confounding,baseline
confounding_strength,1.0,policy_regret,neural_rep,t_learner,30,-0.10725290060691292,-0.1060053881855833,0.0,1.862645149230957e-09,True,confounding,NeuralRep
confounding_strength,1.0,policy_regret,neural_rep,x_learner,30,-0.013188471723601962,-0.013416724324273249,8.0,4.6566128730773926e-08,True,confounding,NeuralRep
confounding_strength,2.0,policy_regret,neural_rep,s_learner,30,0.006835795769961223,0.0048534800833762,53.0,7.910653948783875e-05,True,confounding,baseline
confounding_strength,2.0,policy_regret,neural_rep,t_learner,30,-0.13575588316709147,-0.1325640648619152,0.0,1.862645149230957e-09,True,confounding,NeuralRep
confounding_strength,2.0,policy_regret,neural_rep,x_learner,30,-0.02404013987728519,-0.0228965519913651,12.0,1.30385160446167e-07,True,confounding,NeuralRep
confounding_strength,3.0,policy_regret,neural_rep,s_learner,30,0.009885017484103762,0.0028834383614885504,59.0,0.0001528710126876831,True,confounding,baseline
confounding_strength,3.0,policy_regret,neural_rep,t_learner,30,-0.16172802175673937,-0.16347159681102175,0.0,1.862645149230957e-09,True,confounding,NeuralRep
confounding_strength,3.0,policy_regret,neural_rep,x_learner,30,-0.026467414435789895,-0.02887629739001655,9.0,6.146728992462158e-08,True,confounding,NeuralRep
train_fraction,0.25,pehe,neural_rep,s_learner,30,-1.370718981048143,-0.0657522388453533,163.0,0.15794767439365387,False,sample_size,NeuralRep
train_fraction,0.25,pehe,neural_rep,t_learner,30,-0.04975784331549226,0.03834388749031947,188.0,0.370740607380867,False,sample_size,NeuralRep
