experiment,condition,condition_value,model,metric,mean,std,sem,median,iqr,n,ci_low,ci_high
treatment_imbalance,treated_fraction,0.5,s_learner,pehe,0.5534264295145863,0.05748703494837218,0.010495648601770425,0.5610423518543692,0.08764325892411651,30,0.5341539568299137,0.5738112629613967
treatment_imbalance,treated_fraction,0.5,s_learner,abs_ate_error,0.3616862180688546,0.06144786835220969,0.01121879453570435,0.36424418714005535,0.08521203720456255,30,0.3404692091097017,0.3834605566863578
treatment_imbalance,treated_fraction,0.5,s_learner,policy_regret,0.007463040141600286,0.0029797261174791738,0.0005440210699102107,0.00645117300946807,0.0033279040848301633,30,0.006467841027781243,0.00853186159838411
treatment_imbalance,treated_fraction,0.5,s_learner,policy_value,0.9710416971107122,0.0619752036398822,0.011315072346513253,0.9751110912919341,0.09334005173052651,30,0.9492193280959861,0.9922418350699144
treatment_imbalance,treated_fraction,0.5,t_learner,pehe,0.9109095857459656,0.04331165539079784,0.007907590220143403,0.907177603308741,0.04524103116344924,30,0.8957150530033715,0.9267825922809478
treatment_imbalance,treated_fraction,0.5,t_learner,abs_ate_error,0.12017353293231177,0.06645306463470828,0.012132614171926175,0.10913202163142416,0.08214446835550776,30,0.09704341207291138,0.1439486715818227
treatment_imbalance,treated_fraction,0.5,t_learner,policy_regret,0.12116082139128542,0.0209365977607226,0.0038224822903199724,0.11889735157052411,0.02298086771214622,30,0.11390587580452735,0.12876079624416953
treatment_imbalance,treated_fraction,0.5,t_learner,policy_value,0.8573439158610273,0.06420955112066618,0.011723006518689995,0.8679211731256853,0.09920429610965176,30,0.8350307911917004,0.8793331092016149
treatment_imbalance,treated_fraction,0.5,x_learner,pehe,0.5021414047065431,0.029231477256964362,0.005336913160946206,0.49383110164693456,0.03863489402891607,30,0.4919212548494864,0.5125107881176524
treatment_imbalance,treated_fraction,0.5,x_learner,abs_ate_error,0.058908462376743215,0.04225324808863008,0.007714352368668247,0.04902362208534666,0.05936303392210493,30,0.0446015340621497,0.07401041549468439
treatment_imbalance,treated_fraction,0.5,x_learner,policy_regret,0.027096392507974507,0.0064695122023316195,0.0011811659230906515,0.02817323584638931,0.009724724668515095,30,0.02488667473851018,0.029404455579329667
treatment_imbalance,treated_fraction,0.5,x_learner,policy_value,0.9514083447443381,0.06249605833323627,0.01141016696809074,0.9540792377460896,0.08682596309159774,30,0.9294668466392233,0.9728989841984961
treatment_imbalance,treated_fraction,0.5,neural_rep,pehe,0.49393437017115693,0.03276145732207205,0.0059813963973472176,0.49189410583021453,0.05951769561146014,30,0.48273025735015046,0.5053988021358468
treatment_imbalance,treated_fraction,0.5,neural_rep,abs_ate_error,0.09554068746878062,0.05607398286129396,0.010237661767429594,0.092334095910862,0.09025286914204206,30,0.07601659703064607,0.11578248986076949
treatment_imbalance,treated_fraction,0.5,neural_rep,policy_regret,0.013907920784372552,0.006492106749578852,0.0011852911041586266,0.012719843373176498,0.006898686041507757,30,0.011755808082397172,0.016338366174430703
treatment_imbalance,treated_fraction,0.5,neural_rep,policy_value,0.9645968164679403,0.06136244618514063,0.01120319865309945,0.9701329525963776,0.08620601149080254,30,0.9428809863383952,0.985322658440181
treatment_imbalance,treated_fraction,0.25,s_learner,pehe,0.6024076692797677,0.06484193087502652,0.011838462737480905,0.6069580351331307,0.06510928265208027,30,0.5798022588436952,0.6250104242444029
treatment_imbalance,treated_fraction,0.25,s_learner,abs_ate_error,0.412322638618953,0.07309014618235775,0.013344373931809147,0.41999526287858585,0.0860153348659965,30,0.38702081921771075,0.4378041628013332
treatment_imbalance,treated_fraction,0.25,s_learner,policy_regret,0.007730701042651622,0.0049892872211426366,0.0009109150522973627,0.00728037836130313,0.004656177972907127,30,0.006115503779201294,0.00961503843538757
treatment_imbalance,treated_fraction,0.25,s_learner,policy_value,0.9707740362096613,0.06203474961509786,0.011325943904458007,0.976518547165877,0.09219939207771488,30,0.9487750167058265,0.9919203778919319
treatment_imbalance,treated_fraction,0.25,t_learner,pehe,0.991163297035168,0.048431383878113445,0.008842320480411588,0.9896639783355407,0.07060562577338714,30,0.9741994528070225,1.008390656648073
treatment_imbalance,treated_fraction,0.25,t_learner,abs_ate_error,0.138088882743726,0.07749805454128633,0.014149144211676068,0.1402011704601503,0.13393540921964894,30,0.11100196460709323,0.16552651669268914
treatment_imbalance,treated_fraction,0.25,t_learner,policy_regret,0.1450596261514929,0.02658062304003827,0.004852935610523502,0.14154060123028972,0.0439460560238821,30,0.13582440360705075,0.15456226114801502
treatment_imbalance,treated_fraction,0.25,t_learner,policy_value,0.8334451111008199,0.06763717304132845,0.012348801800205297,0.8346359807391767,0.09107747236687447,30,0.8100260051320521,0.8567506622937592
treatment_imbalance,treated_fraction,0.25,x_learner,pehe,0.5646676230561295,0.03596342572399591,0.006565993171398041,0.5722114673511092,0.05074050308290157,30,0.5520889423876364,0.5773339177087883
